customer_ID,risk_score,State,Region,Number_Of_Dependents,marital_status,Gender,Age,Age Group,Fund,Total_Asset,No of qtns,GENERAL_SAVING_ASSET,HOME_OWNERSHIP_ASSET,FAMILY_PLANNING_ASSET,RETIREMENT_ASSET,UNKNOWN_ASSET
22,2.11,Washington,West,5,Married,Male,65,55+,Pre-Retirees,8818925.48,7,382795.55,762685.37,3157129.87,3371163.49,1145151.2
23,3.5,Oregon,West,5,Divorced,Male,65,55+,Second Chance Retirees,4625307.02,6,992260.15,518680.4,669160.75,2054530.19,390675.53
25,3.14,Florida,South,5,Divorced,Male,65,55+,Second Chance Retirees,2756811.72,7,53579.34,215769.11,1143029.32,972565.15,371868.8
26,4.53,Pennsylvania,Northeast,5,Divorced,Male,65,55+,Second Chance Retirees,2291281.04,7,949653.22,80501.82,997975.99,202031.86,61118.15
27,2.33,Minnesota,Midwest,5,Married,Male,65,55+,Pre-Retirees,5311702.15,7,779956.82,100424.81,3565583.8,626480.52,239256.2
28,3,Louisiana,South,5,Divorced,Male,65,55+,Second Chance Retirees,4096194.71,6,661097.01,156792.64,1537490.76,1588896.4,151917.9
29,3.6,Indiana,Midwest,5,Single,Male,65,55+,Second Chance Retirees,3950822.1,7,578683.12,638112.38,213634.32,2072552.6,447839.68
30,2.73,Massachusetts,Northeast,5,Married,Male,65,55+,Pre-Retirees,7905732.43,7,1301489.28,777968.38,1183831.83,4081511.62,560931.32
32,3,Massachusetts,Northeast,1,Single,Male,65,55+,Second Chance Retirees,6484030.86,7,137100.6,590489.55,2095909.45,3477283.43,183247.83
33,2.45,Connecticut,Northeast,1,Married,Male,65,55+,Pre-Retirees,4445822.54,7,842119.7,713365.79,417195.04,1420399.72,1052742.29
35,2.13,Florida,South,1,Married,Male,65,55+,Pre-Retirees,5486040.01,8,1783.89,471126.74,2323925.88,1494970.71,1194232.79
40,2.36,Georgia,South,4,Married,Female,65,55+,Pre-Retirees,11023735.89,6,2509365.46,6377.16,5304697.82,2094380.12,1108915.33
42,2.36,Massachusetts,Northeast,4,Married,Female,65,55+,Pre-Retirees,8715065.1,6,680006.62,11065.2,4599472.55,2371804.53,1052716.2
43,2.36,Maryland,Northeast,4,Married,Female,65,55+,Pre-Retirees,5815692.42,6,3152617.98,646898.24,1091248.89,788561.28,136366.03
44,2,Oregon,West,4,Married,Male,65,55+,Pre-Retirees,5030942.34,7,258760.32,137501.15,2105741.29,2516183.65,12755.93
46,3.2,Florida,South,4,Divorced,Male,65,55+,Second Chance Retirees,3331716.5,6,126343.26,481585.16,828508.82,1709762.29,185516.97
47,2.73,California,West,4,Married,Male,65,55+,Pre-Retirees,3605517.55,7,47708.54,102465.29,1307631.69,1957078.66,190633.37
49,3.27,Pennsylvania,Northeast,4,Single,Male,65,55+,Second Chance Retirees,6208268.69,7,980170.4,711173.17,1671867.48,2741553.36,103504.28
50,3.43,Florida,South,4,Divorced,Male,65,55+,Second Chance Retirees,2163692.29,6,248613.46,100911.62,185469.8,1198912.83,429784.58
51,3.15,Ohio,Midwest,4,Divorced,Male,65,55+,Second Chance Retirees,4076600.07,7,392558.82,473126,1216715.14,1829773.3,164426.81
52,3.45,Kentucky,South,4,Divorced,Male,65,55+,Second Chance Retirees,2729281.72,8,831943.42,320867.66,459806.57,942934.93,173729.14
53,3.83,Florida,South,4,Single,Male,65,55+,Second Chance Retirees,4382816.91,8,1854639.63,507768.96,705941.59,1128953.4,185513.33
54,3.11,Florida,South,4,Divorced,Male,65,55+,Second Chance Retirees,2069201.31,7,57718.23,355998.4,640707.91,619905.1,394871.67
57,3.23,Connecticut,Northeast,4,Single,Male,65,55+,Second Chance Retirees,4625951.25,7,303243.78,872922.87,1595056.6,1441139.36,413588.64
58,3,Maryland,Northeast,4,Single,Male,65,55+,Second Chance Retirees,2849909.31,8,866499.57,246467.33,600928.01,635807.2,500207.2
59,2.3,Washington,West,1,Married,Male,65,55+,Pre-Retirees,8163533.42,8,1042276.68,572175.93,1727433.68,3893005.71,928641.42
60,3.83,Nebraska,Midwest,1,Divorced,Male,65,55+,Second Chance Retirees,3632283.31,8,1031799.5,256631.75,790787.56,1056583.22,496481.28
61,3,California,West,1,Divorced,Male,65,55+,Second Chance Retirees,2274928.5,7,565782.26,458419.94,551347.52,546712.19,152666.59
62,2.69,Florida,South,1,Married,Male,65,55+,Pre-Retirees,5470696.1,7,2023207.43,660845.45,1079167.56,580084.38,1127391.28
63,3.42,Massachusetts,Northeast,0,Divorced,Male,65,55+,Second Chance Retirees,2711391.33,7,747452.78,285656.02,17633.3,1197989.94,462659.29
64,2.25,California,West,0,Married,Male,65,55+,Pre-Retirees,5713618.68,6,1255135.56,51489.86,1893321.71,1288690.79,1224980.76
65,2.38,Illinois,Midwest,0,Married,Male,65,55+,Pre-Retirees,7089740.62,7,1929232.53,1023380.47,758592.43,3129462.84,249072.35
67,3.08,Connecticut,Northeast,0,Single,,65,55+,Second Chance Retirees,3493371.37,7,271137.44,507506.1,1272061.91,1305944.17,136721.75
68,2.38,Florida,South,3,Married,Male,65,55+,Pre-Retirees,7987153.57,7,2469722.36,1161479.9,588630.56,3036703.99,730616.76
69,3.04,Michigan,Midwest,3,Single,Male,65,55+,Second Chance Retirees,6734414.33,8,1220573.76,391123.61,943114.54,3641125.74,538476.68
71,2.36,California,West,3,Married,Female,65,55+,Pre-Retirees,12880936.97,6,3462727.51,1382709.37,2674523.4,4213916.93,1147059.76
72,2.36,Ohio,Midwest,1,Married,Female,65,55+,Pre-Retirees,10199133.55,6,2186569.01,432176.85,5181561.4,914980.44,1483845.85
73,2.36,Florida,South,1,Married,Female,65,55+,Pre-Retirees,7878403.17,6,1368002.56,891637.53,4065048.94,366034.41,1187679.73
74,2.36,Ohio,Midwest,1,Married,Female,65,55+,Pre-Retirees,7695940.44,6,3187550.62,1242122.54,221601.18,2057256.86,987409.24
75,2.36,Illinois,Midwest,1,Married,Female,65,55+,Pre-Retirees,11936077.92,6,844757.22,1746949.28,1222012.4,6973549.69,1148809.33
78,2.36,Illinois,Midwest,1,Married,Female,65,55+,Pre-Retirees,6506969.41,6,1946204.21,1301670.86,2423185.5,191510.09,644398.75
79,2.36,Florida,South,1,Married,Female,65,55+,Pre-Retirees,6168418.21,6,2255322.33,355566.74,1621613.82,1556232.54,379682.78
80,2.36,Florida,South,1,Married,Female,65,55+,Pre-Retirees,5163717.13,6,1329750.49,1098296.04,1596049.23,785715.09,353906.28
81,2.36,Maryland,Northeast,1,Married,Female,65,55+,Pre-Retirees,10592787.07,6,2156686.65,471393.75,3910801,3226252.72,827652.95
82,2.36,Pennsylvania,Northeast,1,Married,Female,65,55+,Pre-Retirees,9366455.22,6,1080057.14,1263723.93,1446240.74,5256719.77,319713.64
83,2.36,Arizona,West,1,Married,Female,65,55+,Pre-Retirees,12299815.57,6,2365367.47,1595628.03,1366667.64,6186471.03,785681.4
86,2.36,Connecticut,Northeast,1,Married,Female,65,55+,Pre-Retirees,14152294.16,6,2247820.47,681182.24,5226685.96,4547860.01,1448745.48
88,3.33,Maryland,Northeast,1,Divorced,Male,65,55+,Second Chance Retirees,2296051.94,5,794270.05,248462.55,1002997.63,143390.21,106931.5
89,3.21,Maryland,Northeast,1,Divorced,Male,65,55+,Second Chance Retirees,3585519.61,8,576143.88,272197.9,664554.7,1698409.65,374213.48
90,4,Connecticut,Northeast,1,Divorced,Male,65,55+,Second Chance Retirees,2088858.83,6,169863.1,495186.85,327634.79,933837.84,162336.25
92,3.1,Florida,South,1,Single,Male,65,55+,Second Chance Retirees,4316060.65,8,1032120.46,475646.75,1165135.23,1483187.85,159970.36
93,3,Illinois,Midwest,1,Single,Male,65,55+,Second Chance Retirees,4418952.68,7,61528.33,146534.26,2429962.61,1736518.87,44408.61
94,3.5,Alabama,South,1,Divorced,Male,65,55+,Second Chance Retirees,2415423.61,6,119256.28,267667.3,1466461.62,503711.1,58327.31
95,2.61,Virginia,South,1,Married,Male,65,55+,Pre-Retirees,5979074.28,8,1251056.1,1237161.62,2420080.42,834988.38,235787.76
96,3.43,Minnesota,Midwest,3,Divorced,Male,65,55+,Second Chance Retirees,2204473.6,7,233587.33,393620.34,684129.89,552608.58,340527.46
97,3.05,Washington,West,3,Divorced,Male,65,55+,Second Chance Retirees,3970131.46,7,434819.42,350991.73,1390733.14,1558036.27,235550.9
98,2.67,Massachusetts,Northeast,3,Married,Male,65,55+,Pre-Retirees,8321238.56,7,1204638.24,818000.98,1618710.16,4334766.26,345122.92
99,3.28,Virginia,South,3,Divorced,Male,65,55+,Second Chance Retirees,1959395.36,8,558981.49,317772.21,243123.66,462479.26,377038.74
104,3.27,California,West,3,Single,Male,65,55+,Second Chance Retirees,4183061.03,7,646394.3,512201.66,2297260.46,321753.37,405451.24
105,3.4,Maryland,Northeast,3,Divorced,Male,65,55+,Second Chance Retirees,2134681.74,7,424579.48,417116.34,99779.78,1127312.99,65893.15
106,2.36,Montana,West,3,Married,,65,55+,Pre-Retirees,6966267.99,6,1315426.32,718516.97,823631.8,3324335.66,784357.24
107,2.36,Georgia,South,3,Married,,65,55+,Pre-Retirees,6653907.93,6,564260.42,241949.6,4608007.09,321041.76,918649.06
108,3.1,Alaska,West,3,Single,,65,55+,Second Chance Retirees,5333785,6,1769774.76,411907.16,463902.31,1752956.24,935244.53
111,2.36,California,West,3,Married,,65,55+,Pre-Retirees,9615736.26,6,2409081.79,65184.44,1609307.39,4244310.72,1287851.92
112,3.11,Florida,South,3,Single,,65,55+,Second Chance Retirees,5778502,5,1055502.63,375754.98,1738321.88,1621633.57,987288.94
114,2.14,Maryland,Northeast,2,Married,Male,65,55+,Pre-Retirees,8947587.79,8,246743.33,801973.54,2166257.43,4887767.04,844846.45
115,2.18,Minnesota,Midwest,2,Married,Male,65,55+,Pre-Retirees,7392368.63,7,2413483.49,766792.29,3331333.32,427914.74,452844.79
116,2.36,Pennsylvania,Northeast,2,Married,Female,65,55+,Pre-Retirees,11497907.48,6,894011.79,35445.57,5109185.2,5365486.71,93778.21
117,2.36,Maine,Northeast,2,Married,Female,65,55+,Pre-Retirees,12625387.26,6,3455827.69,1080421.24,3073426.2,3843998.5,1171713.63
118,2.36,Florida,South,2,Married,Female,65,55+,Pre-Retirees,12050833.77,6,1762662.1,1078403.98,4758816.44,2783551.68,1667399.57
119,2.36,Connecticut,Northeast,2,Married,Female,65,55+,Pre-Retirees,11188750.25,6,417038.54,1555390.89,3813976.67,3740292.69,1662051.46
125,2.36,Oklahoma,South,2,Married,Female,65,55+,Pre-Retirees,8861782.92,6,662311.73,927431.48,1156332.15,4274918.67,1840788.89
126,3,California,West,2,Single,Male,65,55+,Second Chance Retirees,7119040.31,8,1134000.69,287775.63,1180822.13,3613317.55,903124.31
127,2.92,Florida,South,2,Married,Male,65,55+,Pre-Retirees,3232373.92,7,67700.26,583767.23,601565.33,761421.77,1217919.33
128,3.17,Florida,South,2,Divorced,Male,65,55+,Second Chance Retirees,3994042.17,8,911294.07,492847.32,1475874.82,812407.86,301618.1
129,3.31,Maryland,Northeast,2,Divorced,Male,65,55+,Second Chance Retirees,3874749.84,8,694911.46,464578.35,978979.4,1298199.14,438081.49
131,3,Nevada,West,2,Divorced,Male,65,55+,Second Chance Retirees,2616605.88,5,711797.94,293269.08,369202.7,1165058.54,77277.62
132,2.8,Pennsylvania,Northeast,2,Married,Male,65,55+,Pre-Retirees,5574239.55,7,1253835.9,480507.71,2937615.41,822447.97,79832.56
133,2.5,California,West,2,Married,Male,65,55+,Pre-Retirees,8613690.01,8,1815248.7,184037.32,2664812.22,3599674.29,349917.48
136,2.25,Ohio,Midwest,2,Married,Male,65,55+,Pre-Retirees,6347921.43,6,1568221.32,487496.51,1367001.42,2118660.71,806541.47
137,2.5,Kentucky,South,2,Married,Male,65,55+,Pre-Retirees,10531314.02,8,47415.51,1175970.06,3440326.41,4641635.48,1225966.56
140,3.19,Georgia,South,2,Divorced,Male,65,55+,Second Chance Retirees,2489367.24,8,27371.76,217185.59,624267.54,1419289.66,201252.69
141,2.23,Oregon,West,2,Married,Male,65,55+,Pre-Retirees,9465424.18,7,2118312.02,297387.17,3315863.87,2826108.48,907752.64
142,3.08,Virginia,South,2,Divorced,Male,65,55+,Second Chance Retirees,3349202.22,6,691665.83,143149.55,1122929.5,1244838.4,146618.94
143,3.37,Texas,South,2,Divorced,Male,65,55+,Second Chance Retirees,3633143.69,7,477362.7,355642.14,1151090.77,1437053.49,211994.59
146,3,Maryland,Northeast,2,Divorced,Male,65,55+,Second Chance Retirees,2023978.27,7,82490.1,421463.74,542172.23,539675.34,438176.86
148,4.21,Texas,South,2,Divorced,Male,65,55+,Second Chance Retirees,3031520.96,6,130529.88,508752.45,148451.32,1815245.12,428542.19
149,4.63,Wyoming,West,2,Divorced,Male,65,55+,Second Chance Retirees,3743935.58,7,226231.62,372427.07,1336778.2,1797741.5,10757.19
150,2.36,Texas,South,2,Married,,65,55+,Pre-Retirees,7277943.19,6,684636.58,1003017.91,1261966.68,3506521.82,821800.2
151,2.36,Florida,South,2,Married,,65,55+,Pre-Retirees,7758368.43,6,1079667.58,1128258.14,3911776.13,303370.7,1335295.88
155,2.36,Florida,South,1,Married,Female,65,55+,Pre-Retirees,6933766.89,6,1491296.98,25983.36,3639520.12,1225706.98,551259.45
156,2.36,California,West,1,Married,Female,65,55+,Pre-Retirees,7717990.17,6,494891.28,616202.68,3650649.35,2880096.71,76150.15
157,2.36,Illinois,Midwest,0,Married,Female,65,55+,Pre-Retirees,9644467.06,6,2803086.37,1846587.23,925663.94,3235597,833532.52
158,2.36,Georgia,South,0,Married,Female,65,55+,Pre-Retirees,6276753.46,6,460202.37,223337.46,3112367.54,2206480.72,274365.37
159,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,15103646.82,6,988467.29,1009063.79,5449903.99,6156703.99,1499507.76
160,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,13565058.82,6,3262471.06,1767757.68,2126268.71,5115050.55,1293510.82
161,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,2999391.8,6,147971.87,475285.64,170317.56,1199617.29,1006199.44
162,2.36,California,West,0,Married,Female,65,55+,Pre-Retirees,7909766.28,6,138970.54,1685539.07,4766188,55775.87,1263292.8
164,2.36,Washington,West,0,Married,Female,65,55+,Pre-Retirees,12778419.7,6,2570479.14,766650.27,2638493.96,6761748.61,41047.72
167,3.21,Washington,West,0,Divorced,Male,65,55+,Second Chance Retirees,4145224.88,6,222826.34,9858.16,1350990.42,2071883.22,489666.74
168,3.55,Florida,South,0,Single,Male,65,55+,Second Chance Retirees,5588862.18,5,1031792.11,748595.58,1444242.01,2229164.5,135067.98
169,2.36,California,West,0,Married,Male,65,55+,Pre-Retirees,3271828.69,8,992488.97,151107.22,182828.51,1381694.25,563709.74
172,3.04,Wyoming,West,0,Divorced,Male,65,55+,Second Chance Retirees,2231589.41,7,474241.04,284920.84,901630.7,461915.17,108881.66
175,4,Pennsylvania,Northeast,0,Single,Male,65,55+,Second Chance Retirees,6604482.46,7,1652232.63,836806.93,2508827.26,1245088.54,361527.1
177,2.27,Tennessee,South,0,Married,Male,65,55+,Pre-Retirees,6074592.45,8,1485485.16,922042.99,1419028.04,1498581.93,749454.33
178,3.26,Nevada,West,0,Single,Male,65,55+,Second Chance Retirees,5599802.14,8,323676.29,353024.01,731053.81,3668025.25,524022.78
179,3,Massachusetts,Northeast,0,Divorced,Male,65,55+,Second Chance Retirees,3389971.1,8,837804.34,442942.45,1064460.07,620870.02,423894.22
180,2.14,Nevada,West,0,Married,Male,65,55+,Pre-Retirees,8280719.37,6,402934.02,99098.06,3270721.71,3501378.82,1006586.76
181,3.17,Alabama,South,0,Divorced,Male,65,55+,Second Chance Retirees,3708613.74,8,998782.1,392142.24,808936.91,1400639.76,108112.73
182,2.44,Maryland,Northeast,0,Married,Male,65,55+,Pre-Retirees,4792904.19,8,451401.35,984276.01,601251.96,1850445.04,905529.83
183,2.73,Georgia,South,0,Married,Male,65,55+,Pre-Retirees,5521142.88,7,1015226.53,1164132.9,1247255.57,1462368.46,632159.42
184,3.29,Arizona,West,0,Divorced,Male,65,55+,Second Chance Retirees,3131883.61,7,444020.41,436492.42,668260.94,1430658.74,152451.1
185,2.38,Kansas,Midwest,1,Married,Male,65,55+,Pre-Retirees,3305311.53,7,506050.27,778683.61,432242.55,1379735.39,208599.71
186,3.37,Iowa,Midwest,1,Divorced,Male,65,55+,Second Chance Retirees,2131182.46,7,722397.73,466543.95,41221.28,574003.46,327016.04
187,2.72,Oregon,West,1,Married,Male,65,55+,Pre-Retirees,6158968.85,8,1543194.18,749443.09,1379115.13,1524257.28,962959.17
194,3.04,Massachusetts,Northeast,1,Single,Male,65,55+,Second Chance Retirees,4352426.02,7,187856.88,1148.57,2514578.6,1258594.65,390247.32
196,2.36,Delaware,Northeast,1,Married,,65,55+,Pre-Retirees,9252092.15,6,2428372.44,734050.2,1411200.65,3370562.83,1307906.03
202,2.36,Maine,Northeast,0,Married,Female,65,55+,Pre-Retirees,12323239.54,6,3020982.31,1529256.27,372171.76,5596255.64,1804573.56
203,2.36,Virginia,South,0,Married,Female,65,55+,Pre-Retirees,12879335.28,6,3630149.45,652440.86,3710878.7,3517418.36,1368447.91
204,2.36,Delaware,Northeast,0,Married,Female,65,55+,Pre-Retirees,11282737.18,6,2862841.36,1137113.64,2176770.02,4640909.64,465102.52
205,2.36,Michigan,Midwest,0,Married,Female,65,55+,Pre-Retirees,6953157.41,6,2355806.04,761671.68,2278925.06,411743.4,1145011.23
206,2.36,Kentucky,South,0,Married,Female,65,55+,Pre-Retirees,14536510.38,6,2290695.64,1193615.28,3848444.31,6576000.54,627754.61
207,2.36,Connecticut,Northeast,0,Married,Female,65,55+,Pre-Retirees,11807496.6,6,776172.01,1688040.43,3894629.17,5234641.4,214013.59
210,2.36,Virginia,South,0,Married,Female,65,55+,Pre-Retirees,7023640.11,6,3574024.27,339496.19,957709.96,1375577.05,776832.64
212,2.36,Massachusetts,Northeast,0,Married,Female,65,55+,Pre-Retirees,12637253.12,6,1168700.08,645847.68,2945247.18,7476418.31,401039.87
213,2.36,California,West,0,Married,Female,65,55+,Pre-Retirees,13966336.98,6,3334874.03,1226744.06,3483890.09,4692221.16,1228607.64
214,2.36,Minnesota,Midwest,0,Married,Female,65,55+,Pre-Retirees,12266899.26,6,2760277.85,951698.78,1633866.25,5673471.9,1247584.48
215,2.47,Nevada,West,0,Married,Male,65,55+,Pre-Retirees,9725374.59,7,1448514.91,512223.88,3440809.38,3370432.17,953394.25
217,3.15,Massachusetts,Northeast,0,Single,Male,65,55+,Second Chance Retirees,8170134.61,7,1757983.59,80042.79,2705765.49,3165830.55,460512.19
220,3.75,Ohio,Midwest,0,Single,Male,65,55+,Second Chance Retirees,3313123.15,6,1292112.24,739800.17,288996.55,342802.51,649411.68
221,2.47,Connecticut,Northeast,0,Married,Male,65,55+,Pre-Retirees,5510109.82,7,2062655.21,416325.44,47229.81,2632939.05,350960.31
222,3.2,Kentucky,South,0,Single,Male,65,55+,Second Chance Retirees,3693064.94,6,118347.28,295938.77,658829.81,2593653,26296.08
223,3.77,Louisiana,South,0,Divorced,Male,65,55+,Second Chance Retirees,3916402.88,8,484152.76,332350.51,1055937.17,1588928.43,455034.01
225,3,Indiana,Midwest,0,Single,Male,65,55+,Second Chance Retirees,5749229.78,5,1327174.06,152156.91,1956014.33,1514513.52,799370.96
226,4.1,Virginia,South,0,Single,Male,65,55+,Second Chance Retirees,4708040.88,6,1663466.31,734537.89,1514609.65,591873.24,203553.79
227,3.21,Pennsylvania,Northeast,0,Divorced,Male,65,55+,Second Chance Retirees,3654962.22,6,726486.07,464824.78,688119.43,1358802.64,416729.3
228,3.1,Florida,South,0,Single,Male,65,55+,Second Chance Retirees,2922941.92,8,1157640.68,303354.42,427062.82,239717.09,795166.91
229,3.36,Minnesota,Midwest,0,Divorced,Male,65,55+,Second Chance Retirees,3030294.33,7,627391.75,434468.37,555189.96,1143006.59,270237.66
233,2.36,Connecticut,Northeast,0,Married,Female,65,55+,Pre-Retirees,13767689.52,6,2640572.44,696229.37,2795749.26,6411412.8,1223725.65
234,2.36,Ohio,Midwest,0,Married,Female,65,55+,Pre-Retirees,11967795.78,6,3207435.38,1663967.26,1627629.68,4573248.83,895514.63
235,2.36,Massachusetts,Northeast,0,Married,Female,65,55+,Pre-Retirees,12600241.8,6,2387085.67,311741.16,3171834.24,5971036.03,758544.7
236,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,16468187.12,6,3555946.74,623415.69,5071609.11,6539940.58,677275
237,2.36,Delaware,Northeast,0,Married,Female,65,55+,Pre-Retirees,17264428.83,6,3057297.61,552906.99,5283058.25,6839164.8,1532001.18
238,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,13516850.13,6,3336276.15,1819797.22,4013828.21,3033203.85,1313744.7
239,2.36,Florida,South,0,Married,Female,65,55+,Pre-Retirees,6785434.09,6,1978127.42,521276.75,937983.76,2486862.89,861183.27
242,2.36,Massachusetts,Northeast,0,Married,Female,65,55+,Pre-Retirees,14619759.15,6,624435.18,815806.18,5236768.37,7361210.94,581538.48
244,2.36,Colorado,West,0,Married,Female,65,55+,Pre-Retirees,6296505.7,6,415785.8,222216.51,2868260.8,2009913.24,780329.35
246,1.81,Montana,West,0,Married,Male,65,55+,Pre-Retirees,6488388.57,8,1762147.05,1163105.55,1587434.28,1928262.34,47439.35
247,3.4,Virginia,South,0,Single,Male,65,55+,Second Chance Retirees,7722283.33,7,998307.84,845148.28,2394594.73,3071469.4,412763.08
248,2.17,Wyoming,West,0,Married,Male,65,55+,Pre-Retirees,9839706.74,8,1730600.35,806503.28,3624551.42,2897431.18,780620.51
249,3.36,Massachusetts,Northeast,0,Single,Male,65,55+,Second Chance Retirees,5765286.29,7,1531816.98,671646.27,487013.62,2358464.66,716344.76
252,3.62,Oklahoma,South,5,Single,Male,65,55+,Second Chance Retirees,7824867.52,7,1613609.71,472098.18,2242001.55,2771604.2,725553.88
253,2.22,Florida,South,5,Married,Male,65,55+,Pre-Retirees,8320944.4,6,1603549.21,842537.28,463607.16,4960378.18,450872.57
254,3.43,Michigan,Midwest,5,Divorced,Male,65,55+,Second Chance Retirees,2314955.4,6,449491.74,77138.78,1268926.31,116736.05,402662.52
255,3,Florida,South,5,Single,Male,65,55+,Second Chance Retirees,6125896.86,8,1183026.87,693408.74,2748876.44,693222.94,807361.87
256,3.21,Maryland,Northeast,5,Single,Male,65,55+,Second Chance Retirees,5790665.92,8,1572312.83,395130.62,2191754.35,939450.84,692017.28
257,3.2,Maryland,Northeast,5,Single,Male,65,55+,Second Chance Retirees,5035376.64,8,1071884.36,750636.99,1125004.98,2077186.18,10664.13
258,3.11,Florida,South,5,Single,Male,65,55+,Second Chance Retirees,6996251.15,8,1491741.39,728943.04,2608049.62,1327716.75,839800.35
259,2.93,Minnesota,Midwest,5,Married,Male,65,55+,Pre-Retirees,7331352.29,6,2249572.17,635575.57,1809229.22,2526432.23,110543.1
260,2.67,Massachusetts,Northeast,5,Married,Male,65,55+,Pre-Retirees,8930700.85,6,1824678.84,716195.25,2678973.52,2562279.28,1148573.96
262,2.17,Texas,South,5,Married,Male,65,55+,Pre-Retirees,8444071.07,8,563576.33,266382.85,3362183.88,4247841.06,4086.95
263,3,Virginia,South,5,Divorced,Male,65,55+,Second Chance Retirees,3272683.01,6,966451.82,110821.98,996638.6,784185.58,414585.03
264,4.53,California,West,5,Divorced,Male,65,55+,Second Chance Retirees,2703344.18,8,989073.28,127134.54,1329810.61,214243.33,43082.42
265,3.8,Indiana,Midwest,5,Divorced,Male,65,55+,Second Chance Retirees,2590722.58,6,621089.87,268221.15,639172.72,835158.48,227080.36
266,3.33,Washington,West,5,Divorced,Male,65,55+,Second Chance Retirees,2881090.94,7,1026780.87,78698.2,7487.38,1261439.3,506685.19
269,2.07,Indiana,Midwest,5,Married,Male,65,55+,Pre-Retirees,7719453.95,7,1589584.34,15705.08,2639915.74,2601892.8,872355.99
270,3.11,Wyoming,West,5,Single,Male,65,55+,Second Chance Retirees,2734499.67,8,297081.35,44220.76,319515.86,1530024.91,543656.79
273,3.11,Florida,South,5,Single,,65,55+,Second Chance Retirees,8178436.77,5,1934587.75,166339.13,2615339.61,3101426.17,360744.11
277,2.36,Maryland,Northeast,1,Married,Female,65,55+,Pre-Retirees,13698047.38,6,3578616.29,896388.67,175221.45,7286164.7,1761656.27
278,2.36,Florida,South,4,Married,Female,65,55+,Pre-Retirees,2537335.39,6,119875.77,818718.45,1125550.3,262471.62,210719.25
279,2.36,Arizona,West,4,Married,Female,65,55+,Pre-Retirees,10848471.94,6,3178213.83,1820678.37,867063.79,3615483.46,1367032.49
280,2.36,Virginia,South,4,Married,Female,65,55+,Pre-Retirees,12817223.83,6,2128784.86,1547589.89,2250745.66,5901891.09,988212.33
282,2.36,Colorado,West,4,Married,Female,65,55+,Pre-Retirees,11993300.28,6,1007931.97,1794186.58,3508497.72,5348636.47,334047.54
283,2.36,Oregon,West,4,Married,Female,65,55+,Pre-Retirees,15559866.87,6,3587500.05,1703339.16,3369922.36,5070922.27,1828183.03
